id;short_name;full_name;description;environment_group_id
1;payment;uniform Serbia salmon;Car Customer-focused multi-byte;1
2;haptic;Cambridgeshire Product Regional;regional;2
3;exuding;multi-tasking algorithm;solid state;3
4;Plastic Washington partnerships;Arkansas database Home;navigate Stravenue;4
5;Corporate New Hampshire Avon;intranet systems solid state;Assurance client-driven;5
6;Concrete Handcrafted TCP;Bahamian Dollar;Gorgeous transmitting;6
7;Shirt Unbranded impactful;invoice;Belarussian Ruble;7
8;invoice;virtual standardization;Rustic North Carolina Implemented;8
9;mint green Industrial;Granite;revolutionize Italy Fresh;9
10;Fantastic Metal Pizza;payment navigating Germany;Wallis and Futuna Principal Beauty;10
