id;external_id;ticket_type;summary;ticket_url;priority;status;created;updated
1;out-of-the-box Adaptive users;BUG;Cambridgeshire;generate Industrial;SDD Quality;blue quantifying Borders;2020-12-13T19:21:08;2020-12-13T23:08:52
2;Gorgeous Plastic Table interfaces;STORY;Administrator Games;frictionless frame Legacy;Applications;Savings Account Toys;2020-12-14T15:25:55;2020-12-14T12:31:23
3;Intelligent Cotton Car payment;BUG;Outdoors Computer benchmark;Soft Credit Card Account;New Hampshire;deposit deposit wireless;2020-12-14T09:55:33;2020-12-14T13:14:30
4;redundant Group Balanced;TASK;Mouse Multi-layered Accounts;Lakes payment;expedite Plastic mission-critical;Manager harness utilize;2020-12-14T00:38:02;2020-12-14T15:23:47
5;Investor schemas;EPIC;Avon Sausages Computer;Refined;Data Netherlands Antillian Guilder;Computer Sausages;2020-12-13T17:36:23;2020-12-14T10:39:10
6;neural asynchronous bluetooth;TASK;bus Steel;Human Shoes;Cotton matrix alarm;user-centric;2020-12-14T15:01:47;2020-12-14T13:53:45
7;calculating;TASK;e-business initiatives open-source;Yuan Renminbi;Kids contingency;Berkshire;2020-12-14T06:46:51;2020-12-13T20:19:02
8;multi-byte Centers Indian Rupee;EPIC;copy foreground bricks-and-clicks;Consultant SSL Wyoming;National extensible Fresh;Hat;2020-12-14T07:00:45;2020-12-13T23:33:20
9;sticky;TASK;payment Saint Kitts and Nevis Bedfordshire;Checking Account;navigating Avon;metrics;2020-12-13T18:45:20;2020-12-14T00:19:14
10;Legacy;STORY;SMS;indexing viral deposit;index Cameroon uniform;Home Loan Account THX;2020-12-13T20:33:12;2020-12-13T22:56:36
