id;start_time;end_time;jhi_user;status;namespace;url;test_url;product_version_id;environment_id
1;2020-10-15T13:06:32;2020-10-15T14:22:18;digital zero tolerance;IN_PROGRESS;rich green auxiliary;https://gabrielle.info;Computer;1;1
2;2020-10-16T07:20:02;2020-10-15T15:12:01;protocol;SUCCEEDED;AI tertiary;http://milford.org;Isle open-source contextually-based;2;2
3;2020-10-16T09:07:02;2020-10-16T09:59:12;Multi-channelled firewall;FAILED_KEPT;Table Beauty optical;http://hailey.net;Towels;3;3
4;2020-10-15T17:09:26;2020-10-15T21:08:36;open-source Danish Krone responsive;IN_PROGRESS;Ball Pakistan Rupee Computer;https://genoveva.net;Investment Account Central;4;4
5;2020-10-16T00:18:55;2020-10-15T23:05:49;applications;DELETED;deposit challenge Indonesia;http://pauline.biz;Intelligent National;5;5
6;2020-10-15T17:59:28;2020-10-16T04:39:10;Solutions Shoes;FAILED_KEPT;auxiliary;https://tina.net;Lights indexing;6;6
7;2020-10-16T03:12:23;2020-10-16T10:20:57;Progressive Chad;IN_PROGRESS;hack Buckinghamshire bypassing;https://bart.info;synergy Toys scalable;7;7
8;2020-10-15T20:47:36;2020-10-15T12:00:51;North Carolina Cloned;FAILED_KEPT;calculate Legacy e-business;http://fausto.biz;reboot Synergistic;8;8
9;2020-10-15T16:30:44;2020-10-15T14:53:54;United Kingdom;SUCCEEDED;generate Soft cross-platform;http://nickolas.info;Bacon Borders;9;9
10;2020-10-16T09:52:28;2020-10-15T12:02:57;Licensed;FAILED_ROLLED_BACK;engineer;http://keeley.org;Sleek Metal Computer;10;10
